age,sex_male,hmtime,fear_mean,be_mean,risk_mean,selfeff_mean,media_type,media_val
2,0,1,2.0,3.142857142857143,-0.25,0.0,ftv,3
3,0,1,0.5,3.8095238095238093,-1.25,-1.0,ftv,4
3,1,3,2.5,2.6666666666666665,0.0,0.2,ftv,3
2,1,2,1.5,2.8095238095238093,0.25,1.0,ftv,4
2,0,1,1.5,2.238095238095238,-0.25,0.2,ftv,3
2,0,1,2.0,2.9523809523809526,0.5,0.8,ftv,2
2,0,2,3.0,2.2857142857142856,0.25,0.8,ftv,4
2,0,1,2.0,2.9047619047619047,-0.75,1.0,ftv,1
3,1,1,0.0,2.0,1.0,1.2,ftv,0
2,1,1,0.5,2.4285714285714284,-0.5,0.2,ftv,1
2,0,2,2.0,2.857142857142857,0.25,0.0,ftv,2
2,0,1,2.5,3.0476190476190474,-0.25,1.0,ftv,1
2,1,1,2.0,3.2857142857142856,-0.25,0.0,ftv,0
2,1,2,3.0,1.0476190476190477,0.25,0.6,ftv,3
2,0,2,1.5,2.6666666666666665,-1.0,1.0,ftv,4
2,0,4,1.5,2.8095238095238093,0.25,0.8,ftv,1
2,0,1,3.0,3.142857142857143,0.25,-1.0,ftv,1
2,0,1,3.0,2.619047619047619,0.5,0.8,ftv,2
2,0,1,3.0,2.8095238095238093,0.25,-0.2,ftv,4
2,0,2,3.0,3.4761904761904763,1.0,0.8,ftv,3
2,0,1,2.5,3.2857142857142856,-0.25,0.4,ftv,4
2,0,4,3.0,3.4285714285714284,0.75,0.8,ftv,4
3,0,1,2.0,2.761904761904762,1.25,0.8,ftv,4
2,0,1,2.5,2.2857142857142856,0.75,0.8,ftv,4
2,0,1,1.5,3.142857142857143,0.75,0.2,ftv,4
2,0,2,2.5,2.142857142857143,0.0,0.0,ftv,2
3,1,1,2.0,3.1904761904761907,-0.25,0.2,ftv,3
2,0,1,1.0,2.2857142857142856,-0.25,0.4,ftv,2
2,1,2,3.0,3.3333333333333335,-1.25,0.6,ftv,4
2,0,2,3.0,3.3333333333333335,1.5,0.6,ftv,3
2,0,1,2.0,2.6666666666666665,0.25,0.2,ftv,4
2,0,2,2.5,3.142857142857143,0.75,-0.2,ftv,2
2,1,1,1.0,2.4761904761904763,0.25,0.6,ftv,2
2,0,1,0.0,1.8571428571428572,0.0,0.6,ftv,3
2,0,2,3.0,3.3333333333333335,0.5,1.0,ftv,4
2,1,1,0.5,0.8095238095238095,-0.25,-0.8,ftv,3
2,0,1,2.5,3.3333333333333335,-1.0,0.4,ftv,4
2,0,1,3.0,2.5238095238095237,0.75,0.2,ftv,0
2,0,4,2.0,1.5714285714285714,-1.0,-1.4,ftv,3
2,0,1,2.0,2.8095238095238093,1.5,0.8,ftv,4
2,1,2,2.0,3.238095238095238,1.5,1.6,ftv,4
2,0,1,2.0,3.380952380952381,0.25,0.2,ftv,2
2,0,3,2.5,2.380952380952381,1.5,0.8,ftv,1
2,0,1,2.5,2.9523809523809526,0.75,0.2,ftv,1
2,1,2,2.5,3.0,1.0,1.6,ftv,2
3,1,1,0.0,2.5714285714285716,-1.0,1.2,ftv,0
2,0,1,1.0,2.619047619047619,-0.75,1.0,ftv,4
2,0,3,3.0,1.7142857142857142,-2.0,-1.0,ftv,3
2,0,1,0.5,3.1904761904761907,0.0,1.0,ftv,2
2,0,1,2.5,3.238095238095238,0.0,1.0,ftv,3
2,0,1,1.0,3.2857142857142856,0.25,1.0,ftv,4
2,0,2,2.5,2.380952380952381,1.5,0.4,ftv,4
3,0,1,1.5,2.5714285714285716,0.0,-0.4,ftv,1
3,0,2,2.0,2.6666666666666665,0.5,0.4,ftv,4
2,0,2,3.0,2.619047619047619,0.5,-0.2,ftv,2
2,0,2,2.5,2.6666666666666665,-0.5,-0.6,ftv,4
2,0,1,2.5,2.6666666666666665,0.0,0.2,ftv,1
3,0,2,3.0,2.8095238095238093,1.0,0.8,ftv,4
2,0,2,3.0,3.2857142857142856,0.75,0.4,ftv,1
2,0,2,2.0,3.4285714285714284,-0.25,0.8,ftv,4
3,0,1,1.0,3.142857142857143,-1.0,0.4,ftv,2
2,1,1,1.5,2.142857142857143,-1.0,0.4,ftv,2
3,0,4,3.0,3.0,2.0,1.2,ftv,4
2,0,2,3.0,1.7619047619047619,1.25,1.2,ftv,4
2,0,1,2.5,2.3333333333333335,0.75,0.8,ftv,1
2,1,2,1.5,3.1904761904761907,0.5,0.6,ftv,3
2,0,1,3.0,2.0,0.25,0.6,ftv,3
2,0,1,2.5,3.238095238095238,-0.25,0.0,ftv,0
2,0,1,2.5,2.9523809523809526,-1.0,0.8,ftv,4
4,1,1,2.0,3.0,0.75,0.6,ftv,2
2,0,3,0.5,2.619047619047619,-0.25,0.0,ftv,1
2,0,3,3.0,3.1904761904761907,1.0,0.6,ftv,2
2,0,2,1.0,1.2857142857142858,0.25,-0.4,ftv,2
2,1,1,1.0,1.4285714285714286,1.0,0.6,ftv,1
2,1,1,0.5,1.9047619047619047,-1.0,0.4,ftv,2
2,0,2,1.0,2.238095238095238,-0.75,0.6,ftv,4
2,0,1,2.5,3.2857142857142856,0.25,0.6,ftv,4
2,0,3,3.0,3.238095238095238,0.25,0.6,ftv,4
2,0,2,3.0,3.4285714285714284,0.75,1.2,ftv,1
2,0,1,2.5,1.1904761904761905,-1.5,-1.0,ftv,3
2,0,1,2.0,2.7142857142857144,0.0,0.0,ftv,3
2,0,2,3.0,3.619047619047619,0.75,1.0,ftv,1
3,1,1,2.0,1.5238095238095237,-1.0,-0.8,ftv,4
4,0,1,0.5,1.8095238095238095,-1.0,-0.8,ftv,4
2,0,2,2.0,3.142857142857143,0.25,-0.4,ftv,1
3,1,2,3.0,3.3333333333333335,1.0,0.2,ftv,0
2,1,2,2.5,2.619047619047619,1.25,0.4,ftv,1
2,0,2,2.5,3.0,1.5,0.8,ftv,4
3,0,1,2.5,2.238095238095238,-1.0,0.6,ftv,0
2,0,2,2.5,2.5714285714285716,0.75,0.6,ftv,3
2,0,1,3.0,3.0,0.25,0.4,ftv,1
3,0,3,1.5,3.2857142857142856,0.25,1.0,ftv,4
2,0,1,2.5,2.8095238095238093,0.5,0.8,ftv,2
3,0,2,2.5,3.5238095238095237,1.0,1.2,ftv,4
3,0,4,2.5,2.4285714285714284,-0.5,1.4,ftv,3
3,0,1,2.5,3.2857142857142856,-0.5,1.0,ftv,0
2,1,1,0.0,3.142857142857143,-0.75,0.0,ftv,4
4,0,3,3.0,2.3333333333333335,1.25,1.0,ftv,3
2,0,3,3.0,3.5238095238095237,2.0,1.6,ftv,3
2,0,2,3.0,3.0,2.0,0.6,ftv,1
2,0,1,3.0,2.0476190476190474,1.5,0.8,ftv,1
2,0,1,3.0,2.4285714285714284,0.25,0.8,ftv,4
2,0,2,2.5,3.142857142857143,-0.5,-0.2,ftv,4
2,0,1,3.0,2.9523809523809526,0.5,1.2,ftv,2
2,0,1,1.0,3.142857142857143,-0.5,0.2,ftv,4
2,0,2,2.5,2.5238095238095237,0.25,0.2,ftv,2
2,0,1,2.5,2.0,0.5,-0.2,ftv,3
3,0,2,2.5,2.5714285714285716,0.5,1.2,ftv,4
2,0,1,2.0,3.1904761904761907,-1.0,0.8,ftv,3
2,1,1,1.0,3.0,-1.25,0.4,ftv,0
2,0,1,3.0,2.5238095238095237,1.75,1.0,ftv,4
2,0,2,1.0,2.9047619047619047,-0.25,0.2,ftv,0
2,0,1,2.5,2.8095238095238093,-0.25,0.4,ftv,3
2,0,1,1.0,2.3333333333333335,-1.0,0.4,ftv,3
2,0,1,3.0,2.6666666666666665,-0.5,1.2,ftv,4
2,0,1,2.5,2.9047619047619047,0.0,1.0,ftv,4
2,0,2,2.0,2.9523809523809526,0.25,0.2,ftv,2
2,0,2,3.0,3.0952380952380953,0.5,0.6,ftv,3
2,0,1,1.0,3.3333333333333335,0.75,0.8,ftv,1
2,0,2,2.5,2.8095238095238093,1.0,-0.2,ftv,1
2,1,2,3.0,2.3333333333333335,1.75,1.0,ftv,1
2,0,3,2.5,2.7142857142857144,0.5,-0.6,ftv,4
2,0,1,3.0,3.0,0.5,0.6,ftv,3
3,0,3,2.5,2.9523809523809526,-0.5,0.4,ftv,4
2,0,1,1.0,3.8095238095238093,-1.0,-1.2,ftv,3
2,0,2,3.0,3.3333333333333335,1.5,1.6,ftv,4
2,1,2,3.0,3.2857142857142856,0.5,1.6,ftv,4
3,1,1,2.5,3.0,1.0,1.2,ftv,4
2,1,1,2.0,1.9047619047619047,1.25,-0.8,ftv,0
2,0,2,3.0,2.9523809523809526,0.25,0.4,ftv,3
2,0,2,3.0,2.857142857142857,0.25,0.0,ftv,4
2,0,2,2.0,3.2857142857142856,1.5,0.6,ftv,0
2,0,2,1.5,2.142857142857143,0.75,0.6,ftv,1
3,0,1,2.0,3.0952380952380953,-0.5,0.4,ftv,1
2,0,1,1.5,3.142857142857143,0.0,1.6,ftv,4
2,1,2,2.0,2.6666666666666665,0.75,0.6,ftv,2
2,1,1,2.0,2.4285714285714284,0.25,0.2,ftv,4
2,1,1,1.0,2.2857142857142856,0.25,1.2,ftv,1
2,0,1,1.5,2.761904761904762,0.0,1.2,ftv,0
2,1,1,0.0,1.3333333333333333,-1.25,0.0,ftv,0
2,0,1,2.5,3.1904761904761907,0.5,-0.2,ftv,3
2,0,1,2.5,3.0476190476190474,0.0,0.4,ftv,3
3,0,2,3.0,2.857142857142857,0.5,0.0,ftv,4
3,0,2,3.0,3.238095238095238,0.0,0.6,ftv,4
2,0,1,1.5,3.142857142857143,0.75,1.0,ftv,4
2,0,1,1.5,2.5238095238095237,0.75,0.8,ftv,4
3,0,2,1.5,3.4285714285714284,1.0,1.4,ftv,3
2,1,1,2.0,3.142857142857143,-0.75,0.2,ftv,1
2,0,1,3.0,3.619047619047619,0.75,0.4,ftv,3
2,0,1,1.0,3.2857142857142856,0.75,1.6,ftv,2
2,0,2,0.5,3.238095238095238,-0.75,0.4,ftv,4
2,0,4,1.0,3.0952380952380953,0.5,0.4,ftv,2
2,0,1,2.5,3.0952380952380953,0.75,0.6,ftv,4
3,0,2,3.0,3.1904761904761907,0.5,1.2,ftv,4
2,0,1,2.5,0.9523809523809523,-0.75,-0.2,ftv,2
3,0,2,3.0,3.3333333333333335,0.5,0.6,ftv,4
2,0,2,2.5,3.0,0.75,0.2,ftv,4
2,0,1,2.5,2.7142857142857144,0.75,0.4,ftv,3
2,1,1,2.5,1.5714285714285714,0.25,0.4,ftv,4
2,1,2,1.5,3.4285714285714284,-1.25,0.4,ftv,4
3,1,3,2.0,2.2857142857142856,1.5,0.8,ftv,4
2,0,1,2.0,1.9523809523809523,1.0,0.0,ftv,3
2,0,4,3.0,3.1904761904761907,-0.25,0.2,ftv,0
1,0,1,3.0,2.619047619047619,0.75,-0.2,ftv,2
3,0,2,2.0,3.4761904761904763,0.75,0.4,ftv,4
2,0,2,2.0,3.0952380952380953,0.0,0.2,ftv,3
2,0,2,1.0,2.2857142857142856,0.0,0.0,ftv,2
2,0,1,1.5,2.6666666666666665,0.0,0.6,ftv,2
2,1,2,1.5,1.4285714285714286,-1.5,-1.4,ftv,4
2,1,1,1.5,1.8095238095238095,0.25,0.4,ftv,1
2,0,2,2.0,2.380952380952381,-1.25,-1.4,ftv,3
3,1,3,3.0,2.9523809523809526,1.5,1.2,ftv,4
2,0,2,0.0,3.8095238095238093,0.0,0.0,ftv,3
2,0,2,3.0,3.142857142857143,1.25,1.2,ftv,2
2,0,1,2.0,2.4761904761904763,1.0,1.0,ftv,2
2,0,2,3.0,1.7142857142857142,-1.5,-1.4,ftv,3
2,0,2,3.0,3.142857142857143,1.0,0.4,ftv,3
2,1,1,0.0,2.0952380952380953,-1.0,0.0,ftv,0
2,0,2,2.5,3.2857142857142856,1.0,0.8,ftv,2
2,1,1,2.5,3.0952380952380953,-0.25,0.4,ftv,0
2,0,1,2.0,3.1904761904761907,-0.5,0.0,ftv,1
2,0,1,3.0,3.380952380952381,0.75,0.4,ftv,4
2,1,1,0.0,2.0952380952380953,-1.0,0.0,ftv,0
2,0,1,2.0,0.47619047619047616,-1.5,-1.2,ftv,3
2,0,1,2.0,2.3333333333333335,0.5,0.0,ftv,2
2,0,1,2.5,3.0,0.5,1.2,ftv,2
3,0,1,1.0,3.619047619047619,-1.0,0.2,ftv,1
2,1,1,2.0,2.142857142857143,0.5,-0.2,ftv,3
2,0,1,2.0,3.142857142857143,0.25,0.8,ftv,1
3,1,1,3.0,2.8095238095238093,0.0,0.6,ftv,1
2,0,3,3.0,3.142857142857143,0.75,0.4,ftv,3
2,0,1,1.5,2.8095238095238093,-0.5,0.4,ftv,0
2,0,2,3.0,3.4285714285714284,0.25,0.6,ftv,3
2,0,2,3.0,3.5238095238095237,0.5,0.6,ftv,4
2,1,1,3.0,3.0952380952380953,0.5,1.4,ftv,1
2,0,2,2.5,3.0,1.0,0.6,ftv,3
2,0,2,3.0,2.619047619047619,1.0,-0.2,ftv,4
3,1,1,2.0,1.8095238095238095,-1.75,-1.6,ftv,3
2,0,1,2.5,3.0476190476190474,1.25,0.6,ftv,3
2,0,2,1.0,2.5238095238095237,0.75,1.0,ftv,3
2,0,2,2.5,2.619047619047619,0.5,0.8,ftv,4
2,1,1,0.5,2.8095238095238093,1.0,1.4,ftv,0
3,1,1,3.0,3.8095238095238093,-0.5,0.4,ftv,4
2,0,2,3.0,2.619047619047619,1.0,-0.2,ftv,4
3,1,1,3.0,1.8095238095238095,-1.0,-0.8,ftv,4
2,1,1,0.5,3.3333333333333335,-1.5,0.8,ftv,0
2,0,1,3.0,2.619047619047619,0.5,0.6,ftv,3
2,1,3,3.0,3.238095238095238,0.25,0.6,ftv,4
3,0,1,3.0,3.142857142857143,0.75,1.2,ftv,4
3,0,1,3.0,2.8095238095238093,-0.75,-0.4,ftv,4
3,0,1,1.0,3.2857142857142856,-1.0,-0.8,ftv,3
2,0,1,1.5,2.8095238095238093,0.25,0.4,ftv,4
3,0,2,3.0,2.8095238095238093,0.5,0.8,ftv,3
2,0,2,3.0,1.7142857142857142,-0.25,0.2,ftv,4
2,0,1,3.0,0.9523809523809523,-1.5,-0.8,ftv,4
2,0,1,3.0,2.761904761904762,-0.75,-0.4,ftv,1
2,1,1,2.0,2.4761904761904763,-0.5,0.6,ftv,1
3,0,2,3.0,3.1904761904761907,2.0,0.6,ftv,3
2,0,1,2.5,2.8095238095238093,0.5,0.0,ftv,2
2,0,1,2.5,1.9523809523809523,1.0,0.0,ftv,0
2,0,2,1.5,2.6666666666666665,0.25,-0.2,ftv,2
3,0,4,3.0,3.0476190476190474,0.5,0.2,ftv,4
3,0,3,2.5,3.238095238095238,0.75,1.0,ftv,3
2,0,1,2.0,2.142857142857143,0.0,0.4,ftv,4
2,0,1,2.5,1.0,-1.5,-1.0,ftv,4
2,0,2,2.0,1.9047619047619047,0.75,0.4,ftv,4
3,0,3,3.0,2.761904761904762,2.0,1.6,ftv,1
4,1,2,2.5,3.0952380952380953,1.0,1.2,ftv,3
3,0,1,3.0,2.857142857142857,0.75,1.2,ftv,2
3,1,1,2.5,2.7142857142857144,0.25,0.6,ftv,0
4,0,1,1.5,3.0476190476190474,0.25,0.6,ftv,4
3,1,1,0.0,1.2857142857142858,-1.0,-0.8,ftv,3
2,0,2,3.0,3.2857142857142856,0.5,0.4,ftv,3
2,0,1,1.0,1.619047619047619,-1.0,-1.2,ftv,4
2,0,1,1.0,3.8095238095238093,2.0,1.6,ftv,3
2,0,2,3.0,3.238095238095238,1.75,1.6,ftv,4
3,1,4,3.0,3.2857142857142856,0.5,1.6,ftv,2
2,0,3,0.5,3.0476190476190474,1.0,0.8,ftv,3
2,0,1,2.0,3.380952380952381,-0.75,0.6,ftv,4
2,1,2,3.0,2.7142857142857144,0.5,1.0,ftv,0
2,1,1,1.0,2.6666666666666665,0.0,0.8,ftv,0
2,1,1,2.0,2.761904761904762,0.75,0.2,ftv,4
3,0,1,0.5,1.8095238095238095,-1.0,-0.8,ftv,3
2,0,1,2.0,2.8095238095238093,-0.5,0.6,ftv,0
2,0,3,2.5,2.9523809523809526,-0.25,-0.4,ftv,4
3,0,2,2.5,3.238095238095238,-0.25,0.6,ftv,4
3,1,2,1.5,2.6666666666666665,1.0,0.4,ftv,4
2,0,1,2.0,2.761904761904762,0.0,0.2,ftv,1
2,0,1,2.0,3.142857142857143,-1.0,-0.6,ftv,0
2,1,3,3.0,3.5714285714285716,0.75,1.2,ftv,4
2,0,4,2.0,2.761904761904762,1.0,1.0,ftv,1
2,0,2,3.0,2.3333333333333335,1.25,1.2,ftv,4
2,1,1,0.0,1.8571428571428572,-0.75,0.2,ftv,0
2,1,3,2.0,3.5714285714285716,0.0,0.0,ftv,2
2,1,1,3.0,2.8095238095238093,1.0,0.8,ftv,3
2,0,2,2.0,3.0476190476190474,0.25,1.0,ftv,4
4,0,3,3.0,3.2857142857142856,-0.25,0.4,ftv,4
2,0,1,3.0,2.8095238095238093,1.0,0.6,ftv,3
3,0,1,0.5,2.857142857142857,-0.5,0.2,ftv,1
2,1,2,3.0,3.3333333333333335,-1.25,0.6,ftv,4
2,1,1,1.5,2.1904761904761907,1.0,0.6,ftv,3
2,0,1,3.0,3.4285714285714284,0.25,0.8,ftv,4
2,0,2,2.0,1.8571428571428572,-2.0,-1.6,ftv,4
2,1,3,3.0,3.238095238095238,1.0,0.0,ftv,4
2,0,2,1.5,3.142857142857143,0.25,0.4,ftv,4
2,0,2,3.0,3.238095238095238,1.25,0.2,ftv,1
3,0,2,3.0,2.8095238095238093,-0.5,0.8,ftv,4
2,0,1,3.0,3.3333333333333335,0.5,0.0,ftv,3
2,0,1,1.5,2.5238095238095237,0.0,1.0,ftv,3
2,1,2,2.0,2.8095238095238093,0.0,0.6,ftv,4
2,1,3,1.5,2.619047619047619,-0.75,-0.6,ftv,4
2,0,1,3.0,2.9047619047619047,1.25,1.0,ftv,4
2,0,1,0.5,1.7619047619047619,-0.25,0.2,ftv,4
2,0,1,2.5,3.238095238095238,1.25,1.4,ftv,4
3,1,1,3.0,2.857142857142857,-1.25,-0.2,ftv,4
2,0,2,3.0,3.4285714285714284,1.5,0.0,ftv,4
2,0,1,2.0,3.0952380952380953,0.25,0.6,ftv,3
2,0,2,3.0,3.1904761904761907,1.25,0.6,ftv,2
3,1,1,3.0,2.857142857142857,1.0,0.8,ftv,4
2,0,1,2.5,2.8095238095238093,-0.5,1.0,ftv,1
2,1,2,2.5,2.9523809523809526,0.0,1.0,ftv,3
2,0,3,2.5,2.9523809523809526,1.25,1.0,ftv,4
2,0,1,1.5,2.8095238095238093,0.25,0.2,ftv,2
3,1,1,0.5,2.2857142857142856,0.25,0.6,ftv,0
3,1,1,2.5,1.9523809523809523,-0.25,0.4,ftv,0
2,0,1,2.5,3.0476190476190474,-0.5,0.2,ftv,2
2,0,1,1.5,3.142857142857143,0.0,0.4,ftv,2
3,0,1,0.5,1.8571428571428572,-2.0,-1.0,ftv,3
2,0,1,3.0,3.0476190476190474,1.75,1.0,ftv,4
2,1,2,3.0,2.238095238095238,0.5,0.6,ftv,4
2,0,2,3.0,3.0476190476190474,0.25,0.6,ftv,4
3,0,1,2.0,2.761904761904762,0.25,0.6,ftv,2
3,1,4,0.0,1.9047619047619047,0.0,0.0,ftv,3
3,1,1,1.0,3.1904761904761907,1.75,1.0,ftv,0
2,1,2,2.0,3.0952380952380953,0.0,0.4,ftv,3
3,0,2,3.0,3.0476190476190474,1.5,1.2,ftv,4
2,0,1,2.0,2.857142857142857,0.5,0.2,ftv,4
2,0,1,3.0,2.0,1.5,-0.4,ftv,0
3,1,2,2.5,3.0476190476190474,1.0,1.4,ftv,1
2,0,1,3.0,2.6666666666666665,0.5,0.4,ftv,4
2,0,2,1.5,3.0,-0.5,0.2,ftv,3
2,1,2,2.5,3.619047619047619,0.25,0.0,ftv,3
2,1,2,2.5,3.0476190476190474,0.75,0.6,ftv,2
2,0,2,2.5,2.5714285714285716,0.75,0.2,ftv,3
2,0,3,1.5,3.4285714285714284,1.0,0.6,ftv,4
2,0,1,2.5,2.5714285714285716,0.25,0.4,ftv,1
2,0,3,2.5,2.0476190476190474,1.0,-0.4,ftv,3
2,0,2,3.0,2.857142857142857,1.0,-0.2,ftv,4
2,0,1,3.0,3.3333333333333335,0.0,1.4,ftv,3
2,1,1,1.5,1.9523809523809523,0.0,0.4,ftv,2
2,0,1,3.0,3.1904761904761907,1.0,-0.4,ftv,2
2,0,2,2.5,2.8095238095238093,0.0,-0.2,ftv,2
2,0,3,3.0,2.238095238095238,0.0,0.0,ftv,2
2,0,1,1.5,3.0,-0.25,0.0,ftv,2
2,1,1,2.0,2.4285714285714284,0.25,1.0,ftv,0
4,1,3,2.0,3.380952380952381,0.25,0.2,ftv,4
2,0,3,0.0,3.5714285714285716,-1.0,1.2,ftv,3
3,0,3,1.5,3.380952380952381,0.0,0.0,ftv,4
2,0,2,1.5,3.5714285714285716,0.0,1.2,ftv,3
2,0,1,0.5,3.0952380952380953,-1.5,0.6,ftv,2
2,0,1,2.5,2.619047619047619,0.75,0.0,ftv,1
2,0,2,1.5,2.4285714285714284,0.25,0.0,ftv,3
2,1,2,2.0,3.238095238095238,0.75,0.8,ftv,1
2,0,3,3.0,1.3333333333333333,-1.0,-0.4,ftv,0
2,1,1,0.0,2.2857142857142856,0.0,0.0,ftv,2
2,0,1,2.5,2.6666666666666665,0.5,0.6,ftv,3
2,0,2,2.5,3.142857142857143,0.25,0.0,ftv,4
